ADRIAN,MO,38.397029,-94.380375
ADRIAN,IL,40.416145,-91.205805
ADVANCE,MO,37.001191,-90.033351
ADVANCE,IN,39.995599,-86.619774
ADVANCE,NC,35.945381,-80.448686
ADVENT,WV,38.824924,-81.70665
AFTON,WI,42.605454,-89.070448
AFTON,WY,42.711296,-110.619734
AFTON,OK,36.82215,-94.916222
AFTON,TN,36.227409,-82.734005
AFTON,TX,33.616428,-100.779303
AFTON,MI,45.366479,-84.429893
AFTON,MN,44.90717,-92.816193
AFTON,IA,41.033593,-94.19714
AFTON,VA,37.972758,-78.82231
AFTON,NY,42.255147,-75.533335
AGANA HEIGHTS,GU,13.444257,144.786297
AGAR,SD,44.802621,-100.158903
AGAT,GU,13.444257,144.786297
AGATE,CO,39.382335,-104.084781
AGATE,ND,48.770913,-99.772702
AGAWAM,MA,42.140549,-72.788661
AGENCY,MO,39.631108,-94.714003
AGENCY,IA,40.979036,-92.426183
AGENDA,KS,39.70438,-97.446521
AGES BROOKSIDE,KY,36.865351,-83.287927
AGNESS,OR,42.656925,-124.133206
AGOURA HILLS,CA,34.14617,-118.76126
AGRA,OK,35.908981,-96.873793
AGRA,KS,39.760857,-99.119565
AGUA DULCE,TX,27.836111,-97.530388
AGUADA,PR,18.393103,-67.180953
AGUADILLA,PR,18.43433,-67.15509
AGUANGA,CA,33.519176,-116.802625
AGUAS BUENAS,PR,18.250398,-66.12845
AGUILA,AZ,33.276539,-112.18717
AGUILAR,CO,37.381577,-104.653809
AGUIRRE,PR,17.99229,-66.139253
AH GWAH CHING,MN,46.862332,-94.641872
AHMEEK,MI,47.293287,-88.389708
AHOSKIE,NC,36.339311,-76.990498
AHSAHKA,ID,46.507385,-116.296141
AHWAHNEE,CA,37.379045,-119.736326
AIBONITO,PR,18.128092,-66.268717
AIEA,HI,21.39065,-157.927829
AIKEN,SC,33.537455,-81.7242
AIKEN,TX,34.071514,-101.30313
AILEY,GA,32.17966,-82.516557
AIMWELL,LA,31.596272,-91.77941
AINSWORTH,NE,42.542734,-99.852364
AINSWORTH,IA,41.351113,-91.581212
AIRVILLE,PA,39.821313,-76.405931
AIRWAY HEIGHTS,WA,47.643803,-117.59205
AITKIN,MN,46.563605,-93.430495
AJO,AZ,31.970131,-111.890713
AKASKA,SD,45.29069,-99.991823
AKELEY,MN,46.987609,-94.726405
AKERS,LA,30.612371,-90.405312
AKIACHAK,AK,60.314735,-163.118947
AKIAK,AK,60.314735,-163.118947
AKIN,IL,37.994296,-88.941665
AKRON,MI,43.582147,-83.546114
AKRON,IA,42.822482,-96.462952
AKRON,IN,41.047932,-86.069172
AKRON,AL,32.855347,-87.721868
AKRON,NY,43.013808,-78.525296
AKRON,OH,41.084846,-81.515603
AKRON,PA,40.129894,-76.361053
AKRON,CO,40.073328,-103.202379
AKUTAN,AK,55.430594,-162.55813
ALABAMA,NY,42.998052,-78.184813
ALABASTER,AL,33.193415,-86.794377
ALACHUA,FL,29.784177,-82.473284
ALADDIN,WY,44.738184,-104.288519
ALAKANUK,AK,62.117231,-163.237636
ALAMANCE,NC,36.031836,-79.485643
ALAMEDA,CA,37.776261,-122.276706
ALAMO,IN,39.962271,-87.050635
ALAMO,ND,48.538749,-103.47341
ALAMO,NV,37.472491,-115.143709
ALAMO,GA,32.143021,-82.82677
ALAMO,TN,35.806106,-89.086594
ALAMO,TX,26.221712,-98.218896
ALAMO,CA,37.936723,-122.067431
ALAMOGORDO,NM,32.881146,-105.960224
ALAMOSA,CO,37.468191,-105.874293
ALANREED,TX,35.432839,-100.746559
ALANSON,MI,45.539802,-84.805792
ALAPAHA,GA,31.383968,-83.221348
ALBA,MI,44.983262,-84.961776
ALBA,MO,37.236677,-94.417984
ALBA,TX,32.815881,-95.705636
ALBA,PA,41.77197,-76.521266
ALBANY,MN,45.614724,-94.494229
ALBANY,MO,40.256596,-94.330949
ALBANY,IL,41.729562,-90.159676
ALBANY,IN,40.277967,-85.274125
ALBANY,VT,44.741679,-72.364639
ALBANY,NY,42.651725,-73.755093
ALBANY,WI,42.712827,-89.45123
ALBANY,OH,39.240816,-82.177096
ALBANY,OK,33.921979,-96.191767
ALBANY,OR,44.594489,-122.581676
ALBANY,KY,36.745738,-85.181967
ALBANY,GA,31.576883,-84.17617
ALBANY,TX,32.768222,-99.210207
ALBANY,CA,37.889525,-122.29828
ALBANY,LA,30.527008,-90.742229
ALBEMARLE,NC,35.362602,-80.194283
ALBERS,IL,38.514316,-89.627154
ALBERT,OK,35.203206,-98.357423
ALBERT,KS,38.420451,-98.913448
ALBERT CITY,IA,42.735002,-95.151118
ALBERT LEA,MN,43.686288,-93.389838
ALBERTA,VA,36.858078,-77.894632
ALBERTA,AL,32.145564,-87.354953
ALBERTA,MN,45.585961,-96.000761
ALBERTON,MT,46.989275,-114.558456
ALBERTSON,NC,35.103676,-77.824959
ALBERTSON,NY,40.754757,-73.601772
ALBERTVILLE,MN,45.258673,-93.664342
ALBERTVILLE,AL,34.263672,-86.210975
ALBIA,IA,41.00004,-92.835186
ALBIN,WY,41.335468,-104.249495
ALBION,CA,39.168027,-123.393401
ALBION,PA,41.8909,-80.366334
ALBION,ME,44.530366,-69.639976
ALBION,MI,42.2906,-84.792885
ALBION,IA,42.143933,-92.961868
ALBION,ID,42.339326,-113.461324
ALBION,IL,38.328816,-88.064182
ALBION,IN,41.376028,-85.413862
ALBION,RI,41.954098,-71.462053
ALBION,NE,41.648736,-98.011092
ALBION,NY,43.235143,-78.194251
ALBION,WA,46.934379,-117.412136
ALBION,OK,34.418801,-95.358406
ALBORN,MN,47.014861,-92.612312
ALBRIGHT,WV,39.516364,-79.617653
ALBRIGHTSVILLE,PA,41.012618,-75.560751
ALBUQUERQUE,NM,35.08133,-106.626718
ALBURG,VT,44.93606,-73.289065
ALBURNETT,IA,42.157086,-91.645825
ALBURTIS,PA,40.514472,-75.602941
ALCALDE,NM,36.064687,-106.077688
ALCESTER,SD,42.931698,-96.624298
ALCO,AR,35.91896,-92.127207
ALCOA,TN,35.815758,-83.987698
ALCOLU,SC,33.685155,-80.190733
ALCOVA,WY,42.530223,-106.759971
ALCOVE,NY,42.482455,-73.936671
ALDA,NE,40.860721,-98.504787
ALDEN,NY,42.872937,-78.528446
ALDEN,KS,38.233295,-98.316515
ALDEN,MI,44.900641,-85.232932
ALDEN,MN,43.733525,-93.532143
ALDEN,IA,42.430997,-93.390638
ALDEN,IL,42.324761,-88.452481
ALDENVILLE,PA,41.615989,-75.274708
ALDER,MT,45.193898,-112.056807
ALDER CREEK,NY,43.419596,-75.224784
ALDERPOINT,CA,40.13049,-123.602161
ALDERSON,WV,37.84394,-80.572401
ALDERSON,OK,34.904489,-95.69806
ALDIE,VA,38.957718,-77.60375
ALDRICH,MN,46.379683,-94.936381
ALDRICH,MO,37.534753,-93.543226
ALEDO,TX,32.681918,-97.779522
ALEDO,IL,41.197762,-90.730944
ALEKNAGIK,AK,58.962101,-163.118947
ALEPPO,PA,39.870635,-80.211335
ALEX,OK,34.914788,-97.78122
ALEXANDER,KS,38.470116,-99.553222
ALEXANDER,IA,42.819841,-93.429379
ALEXANDER,IL,39.751657,-90.045839
ALEXANDER,NC,35.628016,-82.556751
ALEXANDER,ND,47.737435,-103.298383
ALEXANDER,AR,34.694468,-92.425087
ALEXANDER,NY,42.917622,-78.264873
ALEXANDER CITY,AL,32.929692,-85.947593
ALEXANDRIA,TN,36.034524,-85.997115
ALEXANDRIA,PA,40.54851,-78.095064
ALEXANDRIA,LA,31.292681,-92.466563
ALEXANDRIA,MN,45.902017,-95.420589
ALEXANDRIA,MO,40.357643,-91.45886
ALEXANDRIA,VA,38.827251,-77.08789
ALEXANDRIA,IN,40.213154,-85.680698
ALEXANDRIA,NE,40.244068,-97.386612
ALEXANDRIA,AL,33.780861,-85.904456
ALEXANDRIA,SD,43.66844,-97.75632
ALEXANDRIA,OH,40.100513,-82.612389
ALEXANDRIA,KY,38.921584,-84.374584
ALEXANDRIA BAY,NY,44.074604,-75.840719
ALEXIS,IL,41.136994,-90.631224
ALEXIS,NC,35.365255,-81.087967
ALFORD,FL,30.641158,-85.375585
ALFRED,NY,42.240535,-77.783192
ALFRED,ME,43.467224,-70.738992
ALFRED STATION,NY,42.254097,-77.799317
ALGER,MI,44.324353,-84.162443
ALGER,OH,40.679192,-83.795649
ALGODONES,NM,35.337752,-106.392905
ALGOMA,WI,44.596017,-87.540266
ALGOMA,MS,34.171543,-89.032791
ALGONA,IA,43.109313,-94.166994
ALGONAC,MI,42.614984,-82.597768
ALGONQUIN,IL,42.280715,-88.461937
ALHAMBRA,CA,34.091562,-118.13461
ALHAMBRA,IL,38.882109,-89.739366
ALICE,TX,27.750906,-98.064694
ALICEVILLE,AL,33.236962,-88.061517
ALICIA,AR,35.952057,-91.030074
ALIEF,TX,29.83399,-95.434241
ALINE,OK,36.51176,-98.449895
ALIQUIPPA,PA,40.675225,-80.304178
ALISO VIEJO,CA,33.571604,-117.734795
ALIX,AR,35.43356,-93.752642
ALKOL,WV,38.167112,-81.968862
ALLAKAKET,AK,65.226375,-151.025085
ALLAMUCHY,NJ,40.869648,-74.849661
ALLARDT,TN,36.381838,-84.775579
ALLEDONIA,OH,39.894917,-80.980056
ALLEENE,AR,33.778125,-94.270165
ALLEGAN,MI,42.539295,-85.894873
ALLEGANY,NY,42.116168,-78.516218
ALLEGANY,OR,43.246918,-124.231068
ALLEGHANY,CA,39.466324,-120.829633
ALLEGRE,KY,36.929243,-87.219328
ALLEMAN,IA,41.813089,-93.609929
ALLEN,KS,38.652011,-96.173461
ALLEN,KY,37.479896,-82.6769
ALLEN,TX,33.112004,-96.673023
ALLEN,MD,38.388434,-75.6276
ALLEN,MI,41.956346,-84.767913
ALLEN,NE,42.445278,-96.884378
ALLEN,SD,43.193203,-101.66933
ALLEN,OK,34.869145,-96.415107
ALLEN JUNCTION,WV,37.603344,-81.53998
ALLEN PARK,MI,42.27633,-83.194425
ALLENDALE,MI,42.979522,-85.93927
ALLENDALE,MO,40.478118,-94.423294
ALLENDALE,IL,38.527638,-87.706344
ALLENDALE,NJ,41.017446,-74.062774
ALLENDALE,SC,32.990158,-81.287561
ALLENDORF,IA,43.415305,-95.643435
ALLENHURST,NJ,40.236198,-74.000554
ALLENHURST,GA,31.779116,-81.60385
ALLENPORT,PA,40.095888,-79.849887
ALLENSPARK,CO,40.210184,-105.50795
ALLENSVILLE,PA,40.539667,-77.790168
ALLENSVILLE,KY,36.720672,-87.104104
ALLENTON,MI,42.938828,-82.919818
ALLENTON,MO,38.638318,-90.427118
ALLENTON,WI,43.382128,-88.26219
ALLENTOWN,PA,40.602229,-75.471537
ALLENTOWN,NJ,40.149712,-74.539598
ALLENTOWN,NY,42.073739,-78.059374
ALLENTOWN,GA,32.606433,-83.20951
ALLENWOOD,PA,40.978059,-77.08184
ALLENWOOD,NJ,40.138878,-74.11221
ALLERTON,IA,40.672872,-93.405589
ALLERTON,IL,39.923693,-87.899719
ALLEYTON,TX,29.709171,-96.486458
ALLGOOD,AL,33.922162,-86.449262
ALLIANCE,NC,35.156145,-76.632264
ALLIANCE,NE,42.219844,-103.073327
ALLIANCE,OH,40.820292,-81.335275
ALLIGATOR,MS,34.074216,-90.75974
ALLISON,TX,35.401181,-100.270306
ALLISON,PA,39.986828,-79.863732
ALLISON,IA,42.697108,-92.7981
ALLISON PARK,PA,40.434436,-80.024817
ALLONS,TN,36.481086,-85.346687
ALLOUEZ,MI,47.287939,-88.412893
ALLOWAY,NJ,39.559077,-75.350573
ALLOY,WV,38.041293,-81.064784
ALLPORT,PA,40.989115,-78.422403
ALLRED,TN,36.323952,-85.203098
ALLSTON,MA,42.357169,-71.112646
ALLYN,WA,47.322429,-122.984003
ALMA,GA,31.576952,-82.461197
ALMA,CO,39.297972,-106.063548
ALMA,MI,43.37891,-84.652131
ALMA,MO,39.105644,-93.590916
ALMA,IL,38.758394,-88.929039
ALMA,NE,40.101761,-99.352846
ALMA,AL,31.482494,-87.880106
ALMA,AR,35.479157,-94.193334
ALMA,NY,42.025431,-78.084837
ALMA,WI,44.346721,-91.836481
ALMA,WV,39.450612,-80.870081
ALMA,KS,38.953556,-96.204558
ALMA CENTER,WI,44.451027,-90.975918
ALMELUND,MN,45.513447,-92.894239
ALMENA,WI,45.434373,-91.965942
ALMENA,KS,39.891272,-99.711523
ALMIRA,WA,47.529705,-118.599193
ALMO,ID,42.084606,-113.628255
ALMO,KY,36.690186,-88.283872
ALMOND,NC,35.409905,-83.479397
ALMOND,NY,42.313285,-77.851286
ALMOND,WI,44.379544,-89.356552
ALMONT,CO,38.820006,-106.660278
ALMONT,MI,42.934027,-83.052481
ALMONT,ND,46.720185,-101.498156
ALMYRA,AR,34.38443,-91.392364
ALNA,ME,44.008962,-69.566684
ALPAUGH,CA,35.85829,-119.303735
ALPENA,MI,45.033143,-83.495091
ALPENA,AR,36.310814,-93.252276
ALPENA,SD,44.122811,-98.412198
ALPHA,MI,46.030951,-88.377097
ALPHA,MN,43.674174,-95.154494
ALPHA,IL,41.20188,-90.245619
ALPHA,OH,39.706459,-84.016233
ALPHA,KY,36.751732,-85.135354
ALPHARETTA,GA,34.068833,-84.271972
ALPINE,AL,33.403969,-86.233878
ALPINE,NJ,40.958975,-73.927906
ALPINE,AR,34.055486,-93.189406
ALPINE,AZ,34.177052,-109.240647
ALPINE,NY,42.375566,-76.732706
ALPINE,WY,43.030327,-110.884515
ALPINE,TN,36.364735,-85.189932
ALPINE,TX,30.358526,-103.661697
ALPINE,CA,32.846973,-116.760551
ALPINE,UT,40.459133,-111.773164
ALPLAUS,NY,42.859176,-73.902117
ALSEA,OR,44.377113,-123.588271
ALSEN,ND,48.77178,-98.464102
ALSEY,IL,39.551987,-90.386156
ALSIP,IL,41.811929,-87.68732
ALSTEAD,NH,43.134412,-72.310623
ALSTON,GA,32.077458,-82.482488
ALTA,CA,39.214162,-120.795987
ALTA,IA,42.735364,-95.151121
ALTA VISTA,IA,43.13992,-92.424719
ALTA VISTA,KS,38.864507,-96.488112
ALTADENA,CA,34.191293,-118.137127
ALTAIR,TX,29.60466,-96.524899
ALTAMAHAW,NC,36.185517,-79.505479
ALTAMONT,NY,42.688731,-74.030596
ALTAMONT,KS,37.222616,-95.360819
ALTAMONT,TN,35.360328,-85.789682
ALTAMONT,UT,40.320728,-110.435974
ALTAMONT,MO,39.893337,-94.090928
ALTAMONT,IL,39.053436,-88.719754
ALTAMONTE SPRINGS,FL,28.661746,-81.395036
ALTAVILLE,CA,38.092294,-120.535316
ALTAVISTA,VA,37.225543,-79.24118
ALTENBURG,MO,37.627908,-89.574503
ALTHA,FL,30.553171,-85.171315
